sys;c1;c2;c1(DDB);c2(DDB);type;null_dsp
5269;N-EICOSANE;CARBON_DIOXIDE;Eicosane;Carbon dioxide;;
5271;N-EICOSANE;2-PHENYLETHANOL;Eicosane;2-Phenylethanol;;
5272;N-EICOSANE;N-Methylcaprolactam;Eicosane;N-Methylcaprolactam;;
5275;BENZYL_ACETATE;N-HEXADECANE;Acetic acid benzyl ester;Hexadecane;;
5276;P-NITROTOLUENE;CARBON_DIOXIDE;p-Nitrotoluene;Carbon dioxide;;
5277;N-DECANOIC_ACID;BIS(CYANOETHYL)ETHER;Capric acid;3,3'-Oxybispropionitrile;;
5280;DIPHENYL_ETHER;SUCCINIC_ACID;Diphenyl ether;Succinic acid;;
5281;DIPHENYL_ETHER;CARBON_DIOXIDE;Diphenyl ether;Carbon dioxide;;
5282;DIPHENYL_ETHER;GLUTARIC_ACID;Diphenyl ether;1,5-Pentanedioic acid;;
5284;1-UNDECANOL;CARBON_DIOXIDE;1-Undecanol;Carbon dioxide;;
5291;N-HEXADECANE;GUAIACOL;Hexadecane;2-Methoxyphenol;;
5292;N-HEXADECANE;P-CHLOROPHENOL;Hexadecane;p-Chlorophenol;;
5293;N-HEXADECANE;DIETHANOLAMINE;Hexadecane;2,2'-Diethanolamine (DEA);;
5294;N-HEXADECANE;3-METHOXYPROPIONITRILE;Hexadecane;3-Methoxy propionitrile;;
5296;N-HEXADECANE;4-Phenyl-2-butanone;Hexadecane;4-Phenyl-2-butanone;;
5297;N-HEXADECANE;CARBON_DIOXIDE;Hexadecane;Carbon dioxide;;
5298;N-HEXADECANE;ACETYLENE;Hexadecane;Ethyne;;
5300;N-HEXADECANE;BENZYLAMINE;Hexadecane;alpha-Aminotoluene;;
5301;N-HEXADECANE;PYRROLE;Hexadecane;Pyrrole;;
5302;N-HEXADECANE;GLYCERYL_TRIACETATE;Hexadecane;1,2,3-Propanetriol-triacetate;;
5303;N-HEXADECANE;N-Methylcaprolactam;Hexadecane;N-Methylcaprolactam;;
5319;DI-N-BUTYL_PHTHALATE;SQUALANE;Phthalic acid dibutyl ester;Squalane;;
5320;DI-N-BUTYL_PHTHALATE;CARBON_DIOXIDE;Phthalic acid dibutyl ester;Carbon dioxide;;
5322;M-TERPHENYL;GLUTARIC_ACID;m-Terphenyl;1,5-Pentanedioic acid;;
5323;M-TERPHENYL;ADIPIC_ACID;m-Terphenyl;Adipic acid;;
5333;1-DODECANOL;SULFOLANE;1-Dodecanol;Sulfolane;;
5334;1-DODECANOL;DIETHANOLAMINE;1-Dodecanol;2,2'-Diethanolamine (DEA);;
5335;1-DODECANOL;CARBON_DIOXIDE;1-Dodecanol;Carbon dioxide;;
5336;1-DODECANOL;ETHANE;1-Dodecanol;Ethane;;
5338;1-DODECANOL;TRIFLUOROMETHANE;1-Dodecanol;Fluoroform [R23];;
5354;SULFOLANE;N-UNDECANE;Sulfolane;n-Undecane;;
5355;SULFOLANE;N-OCTYLBENZENE;Sulfolane;Octylbenzene;;
5356;SULFOLANE;1-TETRADECANOL;Sulfolane;1-Tetradecanol;;
5357;SULFOLANE;CIS-1,2-DIMETHYLCYCLOHEXANE;Sulfolane;cis-1,2-Dimethylcyclohexane;;
5367;N-NONYLBENZENE;CARBON_DIOXIDE;Nonylbenzene;Carbon dioxide;;
5368;N-NONYLBENZENE;ETHANE;Nonylbenzene;Ethane;;
5370;DICHLOROFLUOROMETHANE;CARBON_TETRAFLUORIDE;Dichlorofluoromethane [R21];Tetrafluoromethane [R14];;
5371;DICHLOROFLUOROMETHANE;TETRAETHYLENE_GLYCOL_DIMETHYL_ETHER;Dichlorofluoromethane [R21];Tetraethylene glycol dimethyl ether;;
5372;N-HEPTADECANE;CARBON_DIOXIDE;Heptadecane;Carbon dioxide;;
5375;2,4,4-TRIMETHYL-1-PENTENE;GAMMA-VALEROLACTONE;2,4,4-Trimethyl-1-pentene;Tetrahydro-5-methyl-2-furanone;;
5377;METHYL_MERCAPTAN;METHANE;Methanethiol;Methane;;
5378;DIMETHYL_ETHER;METHANE;Dimethyl ether;Methane;;
5383;DIETHYL_PHTHALATE;CARBON_DIOXIDE;Phthalic acid diethyl ester;Carbon dioxide;;
5386;1-HEPTENE;METHANE;1-Heptene;Methane;;
5387;1-HEPTENE;Perfluorodecalin;1-Heptene;Perfluorodecalin <Isomer not specified>;;
5392;1,4-BUTANEDIOL;ETHYLAL;1,4-Butanediol;Diethoxymethane;;
5401;4-NITROPHENOL;PHOSPHORIC_ACID;p-Nitrophenol;Phosphoric acid;;
5403;BIS(CYANOETHYL)ETHER;ISOVALERIC_ACID;3,3'-Oxybispropionitrile;3-Methylbutanoic acid;;
5404;O-TOLUIDINE;CARBON_DIOXIDE;o-Methylaniline;Carbon dioxide;;
5407;1,1,2,2-TETRABROMOETHANE;CARBON_DIOXIDE;1,1,2,2-Tetrabromoethane;Carbon dioxide;;
5408;N-NONADECANE;CARBON_DIOXIDE;Nonadecane;Carbon dioxide;;
5413;LACTIC_ACID;CARBON_DIOXIDE;Lactic acid;Carbon dioxide;;
5437;O-NITROANISOLE;CARBON_DIOXIDE;2-Methoxynitrobenzene;Carbon dioxide;;
5441;FORMAMIDE;ETHYLAL;Formamide;Diethoxymethane;;
5442;FORMAMIDE;CARBON_DIOXIDE;Formamide;Carbon dioxide;;
5443;BENZOPHENONE;CARBON_DIOXIDE;Benzophenone;Carbon dioxide;;
5444;DIPHENYLAMINE;Urea;Diphenylamine;Urea;;
5450;ISOVALERIC_ACID;SUCCINONITRILE;3-Methylbutanoic acid;1,2-Dicyanoethane;;
5456;1-HEXADECANOL;ETHANE;1-Hexadecanol;Ethane;;
5457;1-HEXADECANOL;ACETYLENE;1-Hexadecanol;Ethyne;;
5461;1-OCTADECANOL;SUCCINIC_ACID;1-Octadecanol;Succinic acid;;
5462;1-OCTADECANOL;ETHANE;1-Octadecanol;Ethane;;
5466;N-UNDECANE;Salicylaldehyde;n-Undecane;Salicylaldehyde;;
5467;N-UNDECANE;CARBON_DIOXIDE;n-Undecane;Carbon dioxide;;
5468;N-UNDECANE;DIETHYL_MALEATE;n-Undecane;Diethyl maleate;;
5469;N-UNDECANE;BENZYLAMINE;n-Undecane;alpha-Aminotoluene;;
5471;N-UNDECANE;N-Methylcaprolactam;n-Undecane;N-Methylcaprolactam;;
5475;2-METHYLOCTANE;4-FORMYLMORPHOLINE;2-Methyloctane;N-Formylmorpholine;;
5476;N-PENTADECANE;N-BUTYRONITRILE;Pentadecane;Butanenitrile;;
5477;N-PENTADECANE;CARBON_DIOXIDE;Pentadecane;Carbon dioxide;;
5478;N-PENTADECANE;N-Methylcaprolactam;Pentadecane;N-Methylcaprolactam;;
5481;N-OCTYLBENZENE;CARBON_DIOXIDE;Octylbenzene;Carbon dioxide;;
5482;N-OCTYLBENZENE;TRIFLUOROMETHANE;Octylbenzene;Fluoroform [R23];;
5483;N-OCTYLBENZENE;1,1,1,2-TETRAFLUOROETHANE;Octylbenzene;1,1,1,2-Tetrafluoroethane [R134a];;
5484;1,3-PROPYLENE_GLYCOL;ETHYLAL;1,3-Propanediol;Diethoxymethane;;
5497;M-PHENYLENEDIAMINE;TRIPHENYLMETHANE;m-Phenylenediamine;Triphenylmethane;;
5498;o-Nitrophenol;CARBON_DIOXIDE;o-Nitrophenol;Carbon dioxide;;
5499;o-Nitrophenol;PHOSPHORIC_ACID;o-Nitrophenol;Phosphoric acid;;
5501;SUCCINONITRILE;CARBON_DIOXIDE;1,2-Dicyanoethane;Carbon dioxide;;
5513;M-TOLUIDINE;CARBON_DIOXIDE;m-Methylaniline;Carbon dioxide;;
5514;Salicylaldehyde;PHOSPHORIC_ACID;Salicylaldehyde;Phosphoric acid;;
5515;GUAIACOL;CARBON_DIOXIDE;2-Methoxyphenol;Carbon dioxide;;
5516;GUAIACOL;PHOSPHORIC_ACID;2-Methoxyphenol;Phosphoric acid;;
5517;O-CHLOROPHENOL;PHOSPHORIC_ACID;o-Chlorophenol;Phosphoric acid;;
5518;M-CHLOROPHENOL;PHOSPHORIC_ACID;m-Chlorophenol;Phosphoric acid;;
5529;1-TETRADECANOL;ETHANE;1-Tetradecanol;Ethane;;
5536;DI-N-PENTYL_ETHER;N-Methylimidazole;Dipentyl ether;N-Methylimidazole;;
5541;O-CHLOROANILINE;CARBON_DIOXIDE;o-Chloroaniline;Carbon dioxide;;
5542;M-CHLOROANILINE;CARBON_DIOXIDE;m-Chloroaniline;Carbon dioxide;;
5561;1-PENTADECANOL;DIETHANOLAMINE;1-Pentadecanol;2,2'-Diethanolamine (DEA);;
5562;DIETHANOLAMINE;N-OCTADECANE;2,2'-Diethanolamine (DEA);Octadecane;;
5563;DIETHANOLAMINE;1-TRIDECANOL;2,2'-Diethanolamine (DEA);n-Tridecanol;;
5564;3-METHOXYPROPIONITRILE;TRANS-2-PENTENE;3-Methoxy propionitrile;trans-2-Pentene;;
5566;1,1-DIFLUOROETHANE;CARBON_TETRAFLUORIDE;1,1-Difluoroethane [R152a];Tetrafluoromethane [R14];;
5567;1,1-DIFLUOROETHANE;OCTAFLUOROPROPANE;1,1-Difluoroethane [R152a];Perfluoropropane [R218];;
5568;1,1-DIFLUOROETHANE;Acetic_acid_phenyl_ester;1,1-Difluoroethane [R152a];Acetic acid phenyl ester;;
5572;EPSILON-CAPROLACTONE;CARBON_DIOXIDE;epsilon-Caprolactone;Carbon dioxide;;
5573;N-HEXYLBENZENE;CARBON_DIOXIDE;Hexylbenzene;Carbon dioxide;;
5574;N-HEXYLBENZENE;N-Methylimidazole;Hexylbenzene;N-Methylimidazole;;
5575;N-BUTYRONITRILE;N-OCTYLAMINE;Butanenitrile;1-Octanamine;;
5576;N-BUTYRONITRILE;N-DECYLAMINE;Butanenitrile;N-Decylamine;;
5578;DIIODOMETHANE;CARBON_DIOXIDE;Diiodomethane;Carbon dioxide;;
5580;N-HEPTYLBENZENE;CARBON_DIOXIDE;Heptylbenzene;Carbon dioxide;;
5581;N-HEPTYLBENZENE;1,1,1,2-TETRAFLUOROETHANE;Heptylbenzene;1,1,1,2-Tetrafluoroethane [R134a];;
5591;HYDRACRYLONITRILE;CARBON_DIOXIDE;Ethylene cyanohydrin;Carbon dioxide;;
5593;SUCCINIC_ACID;Octadecanoic_acid_ethyl_ester;Succinic acid;Octadecanoic acid ethyl ester;;
5594;SUCCINIC_ACID;N-PENTADECANOIC_ACID;Succinic acid;n-Pentadecanoic acid;;
5595;SUCCINIC_ACID;N-HEPTADECANOIC_ACID;Succinic acid;Margarinic acid;;
5599;P-PHENETIDINE;CARBON_DIOXIDE;p-Phenetidine;Carbon dioxide;;
5601;CARBON_TETRAFLUORIDE;SQUALANE;Tetrafluoromethane [R14];Squalane;;
5602;CARBON_TETRAFLUORIDE;METHANE;Tetrafluoromethane [R14];Methane;;
5603;CARBON_TETRAFLUORIDE;ETHANE;Tetrafluoromethane [R14];Ethane;;
5604;CARBON_TETRAFLUORIDE;PROPYLENE;Tetrafluoromethane [R14];Propylene;;
5605;CARBON_TETRAFLUORIDE;TRIFLUOROMETHANE;Tetrafluoromethane [R14];Fluoroform [R23];;
5606;CARBON_TETRAFLUORIDE;METHYL_FLUORIDE;Tetrafluoromethane [R14];Methyl fluoride [R41];;
5608;SQUALANE;CARBON_DIOXIDE;Squalane;Carbon dioxide;;
5609;SQUALANE;METHANE;Squalane;Methane;;
5610;SQUALANE;ETHANE;Squalane;Ethane;;
5611;SQUALANE;N-Methylcaprolactam;Squalane;N-Methylcaprolactam;;
5613;PHENYLACETONITRILE;CARBON_DIOXIDE;Benzylcyanide;Carbon dioxide;;
5615;CARBON_DIOXIDE;BENZYL_BENZOATE;Carbon dioxide;Benzyl benzoate;;
5616;CARBON_DIOXIDE;N-OCTADECANE;Carbon dioxide;Octadecane;;
5617;CARBON_DIOXIDE;P-TOLUIDINE;Carbon dioxide;p-Methylaniline;;
5618;CARBON_DIOXIDE;1-CHLORONAPHTHALENE;Carbon dioxide;1-Chloronaphthalene;;
5619;CARBON_DIOXIDE;Octadecanoic_acid_ethyl_ester;Carbon dioxide;Octadecanoic acid ethyl ester;;
5620;CARBON_DIOXIDE;N-ETHYLANILINE;Carbon dioxide;N-Ethylaniline;;
5621;CARBON_DIOXIDE;N-TETRACOSANE;Carbon dioxide;Tetracosane;;
5622;CARBON_DIOXIDE;M-CHLORONITROBENZENE;Carbon dioxide;3-Chloronitrobenzene;;
5623;CARBON_DIOXIDE;O-CHLORONITROBENZENE;Carbon dioxide;2-Chloronitrobenzene;;
5624;CARBON_DIOXIDE;PYRROLE;Carbon dioxide;Pyrrole;;
5625;CARBON_DIOXIDE;BENZOTRICHLORIDE;Carbon dioxide;1',1',1'-Trichlorotoluene;;
5626;CARBON_DIOXIDE;P-ETHYLPHENOL;Carbon dioxide;4-Ethylphenol;;
5628;CARBON_DIOXIDE;1-Naphthylamine;Carbon dioxide;1-Aminonaphthalene;;
5629;CARBON_DIOXIDE;2-PHENYLETHANOL;Carbon dioxide;2-Phenylethanol;;
5630;CARBON_DIOXIDE;DIMETHYL_PHTHALATE;Carbon dioxide;Phthalic acid dimethyl ester;;
5632;CARBON_DIOXIDE;N-TETRADECYLBENZENE;Carbon dioxide;1-Phenyltetradecane;;
5633;CARBON_DIOXIDE;N-PENTADECYLBENZENE;Carbon dioxide;1-Phenylpentadecane;;
5634;CARBON_DIOXIDE;1-CHLORO-2,4-DINITROBENZENE;Carbon dioxide;2,4-Dinitrochlorobenzene;;
5640;CARBON_DIOXIDE;Glycol_monoacetate;Carbon dioxide;Glycol monoacetate;;
5641;CARBON_DIOXIDE;N-BUTYL_STEARATE;Carbon dioxide;n-Butyl octadecanoate;;
5646;CARBON_DIOXIDE;FORMANILIDE;Carbon dioxide;N-Phenylformamide;;
5649;CARBON_DIOXIDE;ETHYL-HEXADECANOATE;Carbon dioxide;Hexadecanoic acid ethyl ester;;
5653;CARBON_DIOXIDE;Cinnamaldehyde;Carbon dioxide;Cinnamaldehyde <Isomer not specified>;;
5662;CARBON_DIOXIDE;GLYCEROL-TRICAPRYLATE;Carbon dioxide;Octanoic acid, 1,2,3-propanetriyl ester;;
5663;CARBON_DIOXIDE;N-Methylimidazole;Carbon dioxide;N-Methylimidazole;;
5668;CARBON_DIOXIDE;ACETALDOL;Carbon dioxide;3-Hydroxybutyraldehyde;;
5718;METHANE;HYDROGEN_SULFIDE;Methane;Hydrogen sulfide;;
5719;METHANE;TRIFLUOROMETHANE;Methane;Fluoroform [R23];;
5720;METHANE;2,2-DIMETHYLPENTANE;Methane;2,2-Dimethylpentane;;
5721;METHANE;OCTAFLUOROPROPANE;Methane;Perfluoropropane [R218];;
5729;ETHANE;CARBON_MONOXIDE;Ethane;Carbon monoxide;;
5730;ETHANE;TRIFLUOROMETHANE;Ethane;Fluoroform [R23];;
5731;ETHANE;HEXAFLUOROETHANE;Ethane;Hexafluoroethane [R116];;
5732;ETHANE;4-FORMYLMORPHOLINE;Ethane;N-Formylmorpholine;;
5733;ETHANE;1-Docosanol;Ethane;1-Docosanol;;
5734;ETHANE;OCTAFLUOROPROPANE;Ethane;Perfluoropropane [R218];;
5735;ETHANE;N-DECYLBENZENE;Ethane;1-Phenyldecane;;
5736;ETHANE;N-TETRADECYLBENZENE;Ethane;1-Phenyltetradecane;;
5737;ETHANE;N-UNDECYLBENZENE;Ethane;1-Phenylundecane;;
5764;TRIFLUOROMETHANE;N-TETRADECYLBENZENE;Fluoroform [R23];1-Phenyltetradecane;;
5774;N-OCTADECANE;N-Methylcaprolactam;Octadecane;N-Methylcaprolactam;;
5803;DIFLUOROMETHANE;OCTAFLUOROPROPANE;Difluoromethane [R32];Perfluoropropane [R218];;
5810;3,4-XYLENOL;IODOBENZENE;3,4-Dimethylphenol;Iodobenzene;;
5811;P-TERPHENYL;GLUTARIC_ACID;p-Terphenyl;1,5-Pentanedioic acid;;
5812;P-TERPHENYL;ADIPIC_ACID;p-Terphenyl;Adipic acid;;
5816;Octadecanoic_acid_ethyl_ester;PIMELIC_ACID;Octadecanoic acid ethyl ester;Heptanedioic acid;;
5817;Octadecanoic_acid_ethyl_ester;GLUTARIC_ACID;Octadecanoic acid ethyl ester;1,5-Pentanedioic acid;;
5818;Octadecanoic_acid_ethyl_ester;ADIPIC_ACID;Octadecanoic acid ethyl ester;Adipic acid;;
5857;O-TERPHENYL;PIMELIC_ACID;o-Terphenyl;Heptanedioic acid;;
5858;O-TERPHENYL;GLUTARIC_ACID;o-Terphenyl;1,5-Pentanedioic acid;;
5859;O-TERPHENYL;ADIPIC_ACID;o-Terphenyl;Adipic acid;;
5860;O-TERPHENYL;SUBERIC_ACID;o-Terphenyl;Octanedioic acid;;
5861;O-TERPHENYL;AZELAIC_ACID;o-Terphenyl;1,9-Nonanedioic acid;;
5867;1,3,5-TRINITROBENZENE;Urea;1,3,5-Trinitrobenzene;Urea;;
5883;Urea;TRIPROPYLENE_GLYCOL;Urea;Tripropylene glycol;;
5884;Urea;M-DINITROBENZENE;Urea;m-Dinitrobenzene;;
5886;CHLOROFLUOROMETHANE;TETRAETHYLENE_GLYCOL_DIMETHYL_ETHER;Chlorofluoromethane [R31];Tetraethylene glycol dimethyl ether;;
5922;GLUTARIC_ACID;N-HEPTADECANOIC_ACID;1,5-Pentanedioic acid;Margarinic acid;;
5937;2,4,6-TRINITROPHENOL;TRIPHENYLMETHANE;Picric acid;Triphenylmethane;;
